iter	Logloss
135	0.4888666079
136	0.4875607347
137	0.4867060976
138	0.4858281922
139	0.4844360857
140	0.4836692944
141	0.4830970847
142	0.4823135347
143	0.4814667255
144	0.4807108741
145	0.4800026225
146	0.4791538797
147	0.4783221518
148	0.4773952692
149	0.4768871777
150	0.476018758
151	0.4748247219
152	0.4737375382
153	0.4726532032
154	0.471420684
155	0.4702336057
156	0.4693524253
157	0.4685747047
158	0.4679490258
159	0.4672897725
160	0.4664099464
161	0.4658679865
162	0.4648075708
163	0.464077606
164	0.4631911646
165	0.4624887016
166	0.4613696165
167	0.4605943214
168	0.4598313407
169	0.4593214635
170	0.4587126641
171	0.4582001
172	0.4574915207
173	0.4570323597
174	0.4563285318
175	0.4555694186
176	0.4548397395
177	0.4540089723
178	0.4534771706
179	0.4526815745
180	0.451736786
181	0.4506734
182	0.4501016332
183	0.4495657903
184	0.4489465743
185	0.4481483723
186	0.4475517002
187	0.4471127774
188	0.4463416278
189	0.445393045
190	0.4447729309
191	0.4439100445
192	0.4433041579
193	0.4428658391
194	0.4423701252
195	0.4419189328
196	0.4410077446
197	0.440323843
198	0.439353265
199	0.4386671182
200	0.438090469
201	0.4375061565
202	0.4365807776
203	0.4359077633
204	0.435392744
205	0.4345540234
206	0.433712724
207	0.432888133
208	0.4322204559
209	0.4316448445
210	0.4309920694
211	0.4300917871
212	0.4296290166
213	0.4284761862
214	0.4277347597
215	0.4267946195
216	0.4260965146
217	0.4255461563
218	0.424882286
219	0.4242530577
220	0.4235747207
221	0.423047135
222	0.4225504586
223	0.4220752215
224	0.4215386202
225	0.4206032885
226	0.4200298076
227	0.4194786518
228	0.418799075
229	0.4182825483
230	0.4173584168
231	0.4167750387
232	0.4163525387
233	0.4158119298
234	0.415255003
235	0.4143744434
236	0.4138911001
237	0.4135069251
238	0.4130077619
239	0.4123652159
240	0.4117587422
241	0.4112315168
242	0.4106875076
243	0.410356039
244	0.4099827407
245	0.4095058633
246	0.4089209664
247	0.4082937111
248	0.4079013827
249	0.4075402765
250	0.4069868388
251	0.4066424101
252	0.40589391
253	0.4052155825
254	0.4044011272
255	0.4035662302
256	0.402536465
257	0.4020312252
258	0.4015773386
259	0.4011684176
260	0.4004726209
261	0.4001827656
262	0.3996878502
263	0.3990337885
264	0.3982930729
265	0.3978086478
266	0.3972819879
267	0.3965893376
268	0.396258881
269	0.3956137021
270	0.3952869221
271	0.3947075176
272	0.3943815245
273	0.393849165
274	0.3935177464
275	0.3931722006
276	0.392719036
277	0.3923547647
278	0.3916842434
279	0.391073405
280	0.3905404976
281	0.3899478968
282	0.3892431995
283	0.3888239175
284	0.388350403
285	0.3877536753
286	0.3871702111
287	0.3866650342
288	0.3862623491
289	0.3856941115
290	0.3850930385
291	0.3845480795
292	0.3839540187
293	0.383465602
294	0.3827687591
295	0.3825270793
296	0.3818454791
297	0.38167286
298	0.3812344628
299	0.3808736906
300	0.3803567085
301	0.379702003
302	0.3792971289
303	0.378607574
304	0.3782635422
305	0.377851085
306	0.3774710905
307	0.3767590763
308	0.3764276526
309	0.3758745288
310	0.3754552342
311	0.3748609964
312	0.3743711803
313	0.3738495889
314	0.3731612995
315	0.3727868722
316	0.3724112455
317	0.371944274
318	0.3717825345
319	0.3711992705
320	0.3707432408
321	0.3701460311
322	0.369798496
323	0.3690970259
324	0.3686374337
325	0.3682196763
326	0.3676507899
327	0.36733092
328	0.3669512446
329	0.366524493
330	0.3661884751
331	0.3658116636
332	0.3651888374
333	0.3646648832
334	0.3643040858
335	0.363867529
336	0.3635096233
337	0.3628973349
338	0.3623599594
339	0.3619989524
340	0.3615977514
341	0.3610280172
342	0.3605005805
343	0.3600239506
344	0.3595440999
345	0.3591933461
346	0.3586042878
347	0.3582685292
348	0.3579965725
349	0.3576624475
350	0.3572752938
351	0.3569646532
352	0.356536817
353	0.3562490619
354	0.3558902764
355	0.3555166956
356	0.3551923433
357	0.3547870076
358	0.354469327
359	0.3541318408
360	0.3539513597
361	0.3537756534
362	0.3534799137
363	0.3531196309
364	0.3529088015
365	0.3523480623
366	0.3522093871
367	0.3515211961
368	0.3511030362
369	0.3506259905
370	0.350299699
371	0.3497504315
372	0.3490373572
373	0.3487947659
374	0.3482895416
375	0.3480718248
376	0.3477815275
377	0.3474002351
378	0.3469266611
379	0.346538375
380	0.3459833193
381	0.3455446082
382	0.3451601828
383	0.3446700081
384	0.3441349465
385	0.3435848448
386	0.3430691367
387	0.3427701751
388	0.3425347702
389	0.3422175992
390	0.3418924067
391	0.3415696894
392	0.3412446912
393	0.3409519457
394	0.3407054532
395	0.3404062669
396	0.3402473743
397	0.3398961553
398	0.3394430779
399	0.3391242453
400	0.3387039879
401	0.3381588002
402	0.3375277819
403	0.337171063
404	0.3366202611
405	0.3362280177
406	0.3355088962
407	0.3349651176
408	0.3346616802
409	0.3341137111
410	0.3337003281
411	0.3333963761
412	0.3331116471
413	0.3326973302
414	0.3324351324
415	0.3319387682
416	0.3314818558
417	0.3312693054
418	0.3306754655
419	0.3304887251
420	0.3300994313
421	0.3295534656
422	0.3291605448
423	0.3285919846
424	0.3281549827
425	0.3278709518
426	0.3276722994
427	0.3273397038
428	0.3269651528
429	0.3265908773
430	0.3260625959
431	0.3256573408
432	0.3253288275
433	0.3251716529
434	0.3248285314
435	0.324341832
436	0.3239841063
437	0.3234284928
438	0.3230960145
439	0.3228289971
440	0.3223910626
441	0.3219379355
442	0.3217779655
443	0.3215112866
444	0.3208890637
445	0.3206674801
446	0.3204112537
447	0.3201269637
448	0.3198362421
449	0.3192095329
450	0.3189128753
451	0.3185429935
452	0.3182753868
453	0.3178834511
454	0.3176964092
455	0.3173473975
456	0.3171786405
457	0.316790927
458	0.3163870538
459	0.3160851671
460	0.315593347
461	0.3151277205
462	0.3149169786
463	0.3147300064
464	0.3145555242
465	0.3143199951
466	0.3139935084
467	0.3135726489
468	0.3132766868
469	0.3127834718
470	0.312594873
471	0.3124132052
472	0.3120226665
473	0.3115012592
474	0.3111219073
475	0.3107454872
476	0.3104613394
477	0.3101289152
478	0.3097930674
479	0.30936701
480	0.3091007645
481	0.3087038108
482	0.308101505
483	0.3078291765
484	0.3072694395
485	0.3069938673
486	0.3067431806
487	0.3064172254
488	0.3062193821
489	0.3058404294
490	0.3054363749
491	0.3050551513
492	0.3047647542
493	0.3045213397
494	0.3041934909
495	0.3040193499
496	0.3036941723
497	0.3034737019
498	0.3032388536
499	0.3024751124
500	0.3020793604
501	0.3015840218
502	0.3014106814
503	0.3011515065
504	0.3008360797
505	0.3006630987
506	0.3004230031
507	0.3002248985
508	0.2997902156
509	0.2993788868
510	0.2991962081
511	0.2989292638
512	0.2986214763
513	0.2982662506
514	0.2980131639
515	0.2977018585
516	0.297419381
517	0.2968681563
518	0.2964964689
519	0.2962753858
520	0.2960917863
521	0.2960252384
522	0.2956720478
523	0.2954113145
524	0.2952496398
525	0.2950556748
526	0.2947848008
527	0.2944771375
528	0.2939039732
529	0.293471002
530	0.293383914
531	0.2932369283
532	0.2928547023
533	0.2926795165
534	0.2921634505
535	0.2917985113
536	0.2914528996
537	0.2911236317
538	0.2908490463
539	0.2905927648
540	0.2901864919
541	0.2899492292
542	0.2897007976
543	0.289376909
544	0.2891062066
545	0.2889078112
546	0.2885509484
547	0.2881426346
548	0.2877198541
549	0.2876103159
550	0.2873781313
551	0.2870648779
552	0.2868373722
553	0.2864502574
554	0.2862985088
555	0.2861859647
556	0.2859481672
557	0.2856868204
558	0.2855140619
559	0.28524461
560	0.2848741275
561	0.2844974602
562	0.2840561268
563	0.2837845976
564	0.2835017682
565	0.2831525272
566	0.2829011523
567	0.282429885
568	0.2821103515
569	0.2819164825
570	0.281760206
571	0.281631896
572	0.2812038169
573	0.2809977453
574	0.2807291857
575	0.2805444184
576	0.2803493392
577	0.2799822984
578	0.2796829828
579	0.2793399515
580	0.2789884357
581	0.2789047844
582	0.2785935913
583	0.2783196235
584	0.2780709208
585	0.2776270683
586	0.2773953361
587	0.2771832784
588	0.2769255725
589	0.2767134283
590	0.2763090126
591	0.2760548632
592	0.2758326597
593	0.2753853205
594	0.275062987
595	0.2748381744
596	0.2744514108
597	0.2742215957
598	0.2740086331
599	0.2736522412
600	0.2735557635
601	0.2733360871
602	0.2729000038
603	0.2726323161
604	0.2723472345
605	0.2718206118
606	0.2716073564
607	0.2712856343
608	0.271039693
609	0.2708069509
610	0.2704957632
611	0.2703029879
612	0.2700643005
613	0.2699098277
614	0.2695452035
615	0.2692671092
616	0.2690730197
617	0.2688767489
618	0.2687038838
619	0.2685262317
620	0.2682350457
621	0.2680292139
622	0.2677486798
623	0.267378093
624	0.267239728
625	0.267162666
626	0.2668199962
627	0.2665474021
628	0.2665048137
629	0.2663594638
630	0.2660781916
631	0.2658251008
632	0.265611455
633	0.2654316261
634	0.2652125904
635	0.2649183747
636	0.2646986083
637	0.2645575681
638	0.2641807106
639	0.2638826813
640	0.2636191916
641	0.2632483346
642	0.2630925269
643	0.2628376121
644	0.2625758877
645	0.2621883047
646	0.2620201365
647	0.2619154835
648	0.2616234753
649	0.2614002378
650	0.261238331
651	0.2611232586
652	0.2608972824
653	0.2605078263
654	0.2603083504
655	0.2601082188
656	0.2599797296
657	0.2598373576
658	0.2594936349
659	0.2592721168
660	0.2590072184
661	0.2585408571
662	0.2584184228
663	0.2581329553
664	0.2578661331
665	0.2577409523
666	0.2574812819
667	0.2573035188
668	0.2571719976
669	0.2568812669
670	0.2566996497
671	0.2562530459
672	0.2559246189
673	0.2557000456
674	0.2554213362
675	0.2552301904
676	0.2551218589
677	0.2548233619
678	0.2545663356
679	0.2543689816
680	0.2540617592
681	0.253734582
682	0.2535774149
683	0.2533732346
684	0.2529989764
685	0.2525872906
686	0.2522979152
687	0.2521501252
688	0.2518162266
689	0.2516510854
690	0.2515331645
691	0.2513356275
692	0.2509846908
693	0.2506761818
694	0.2505029203
695	0.2503418375
696	0.2501799615
697	0.2499220068
698	0.2497416243
699	0.2495525512
700	0.2493991733
701	0.2491629201
702	0.2490389544
703	0.2486622805
704	0.2484744603
705	0.2482280149
706	0.2480040285
707	0.2478252854
708	0.2476367773
709	0.2474259363
710	0.247157087
711	0.2469306736
712	0.2467512229
713	0.2464109461
714	0.2460869923
715	0.2460073801
716	0.2458022082
717	0.2455675233
718	0.2453816103
719	0.2451933061
720	0.2450433134
721	0.2447346328
722	0.2443682196
723	0.2441743522
724	0.2439665237
725	0.2437167212
726	0.2434030818
727	0.2432736631
728	0.2430456254
729	0.2428771367
730	0.2426293786
731	0.2424260873
732	0.2422751822
733	0.242129437
734	0.2419479262
735	0.2417534871
736	0.2416802086
737	0.2414331235
738	0.2412554845
739	0.2409806798
740	0.2407801716
741	0.2405549632
742	0.2403521437
743	0.240146446
744	0.2398779251
745	0.2394838311
746	0.2390490312
747	0.2389343859
748	0.2388365602
749	0.2384712375
750	0.2382676267
751	0.2379059986
752	0.2375693215
753	0.2373485788
754	0.2371023536
755	0.2368782214
756	0.2366761561
757	0.2364146058
758	0.236197238
759	0.2359184072
760	0.2357301921
761	0.2354799209
762	0.2352980441
763	0.2349882117
764	0.2347691641
765	0.2344993217
766	0.2342046675
767	0.2340121996
768	0.2337820718
769	0.2334942303
770	0.233368244
771	0.2331267162
772	0.2327546215
773	0.2324983511
774	0.2320712436
775	0.2317440416
776	0.2315922825
777	0.2314422802
778	0.2310528673
779	0.2308307726
780	0.2307105783
781	0.2303924724
782	0.2301418356
783	0.2299623674
784	0.2297935063
785	0.2295905172
786	0.2294383301
787	0.2292543586
788	0.2291216264
789	0.2290020874
790	0.228861224
791	0.2286799516
792	0.2283939817
793	0.2283019306
794	0.2280655961
795	0.228004375
796	0.2278373265
797	0.2275576116
798	0.2272416664
799	0.2270426856
800	0.2268734096
801	0.2266761959
802	0.2265811953
803	0.2263986866
804	0.2262660841
805	0.2258865171
806	0.2257264232
807	0.2255106863
808	0.2252554152
809	0.2250562878
810	0.2250157346
811	0.2248546247
812	0.2246782243
813	0.2243861997
814	0.2241040361
815	0.2239668288
816	0.2238054847
817	0.2236606496
818	0.2235817267
819	0.2234552174
820	0.2233245788
821	0.2232125135
822	0.2229436092
823	0.2228308474
824	0.2226323753
825	0.2223935492
826	0.2222331251
827	0.2220777798
828	0.2219529646
829	0.2216404119
830	0.2214560463
831	0.2212681312
832	0.2210693723
833	0.2208325591
834	0.2207041168
835	0.2204144538
836	0.2200619276
837	0.2200117744
838	0.2199637679
839	0.2198379107
840	0.2193728664
841	0.2191844
842	0.2191132462
843	0.2188382423
844	0.2185863277
845	0.2183307304
846	0.2182081982
847	0.2179519565
848	0.217672036
849	0.2174165081
850	0.2172483412
851	0.2170654291
852	0.2169203613
853	0.216780278
854	0.2165980842
855	0.2162805098
856	0.2162029861
857	0.2160231324
858	0.2159097399
859	0.2158644237
860	0.2157223689
861	0.2156080156
862	0.2153662288
863	0.2152212982
864	0.2150664285
865	0.2148123501
866	0.2147020722
867	0.214418299
868	0.2141929086
869	0.2140764392
870	0.2137518959
871	0.2135473676
872	0.2133598259
873	0.2130993405
874	0.21298025
875	0.2128378295
876	0.2126281252
877	0.2124114698
878	0.21227058
879	0.2121697928
880	0.2119698459
881	0.2117954694
882	0.2115134146
883	0.2113627383
884	0.2111576438
885	0.2109906127
886	0.2107670264
887	0.2106244097
888	0.2104803063
889	0.2103785574
890	0.2102473991
891	0.2100884896
892	0.209968762
893	0.2098029947
894	0.2095524714
895	0.2093780499
896	0.2092623592
897	0.209204821
898	0.2090901718
899	0.2088301322
900	0.2086157904
901	0.2082788424
902	0.2079901363
903	0.2077771737
904	0.2076541742
905	0.2073653891
906	0.2073046327
907	0.2070731492
908	0.2069097036
909	0.2067020978
910	0.2064947528
911	0.2062766714
912	0.2061144328
913	0.2058553321
914	0.2057146533
915	0.2054725754
916	0.2052956016
917	0.205194946
918	0.2051184766
919	0.2048576495
920	0.2046458902
921	0.204553975
922	0.2043729125
923	0.2042960942
924	0.2040353274
925	0.203749877
926	0.2034805872
927	0.2033487329
928	0.2032299444
929	0.2030214602
930	0.2029227957
931	0.2027942514
932	0.2025458954
933	0.2024848976
934	0.202399512
935	0.2022349087
936	0.2019978333
937	0.2018332498
938	0.2016291542
939	0.201448777
940	0.2012629727
941	0.2011223164
942	0.2009260244
943	0.2007117397
944	0.2005151712
945	0.2002800819
946	0.200013094
947	0.1998860275
948	0.1997717076
949	0.1997596326
950	0.1997227119
951	0.1996049431
952	0.1995281526
953	0.1993097592
954	0.1990541604
955	0.1987943427
956	0.1986532598
957	0.198493364
958	0.1983896063
959	0.1982939059
960	0.1981143889
961	0.1980449587
962	0.1978589732
963	0.1974643068
964	0.1972407806
965	0.1972168161
966	0.1971307202
967	0.1969823966
968	0.1969458488
969	0.1968810321
970	0.1966996466
971	0.1964543707
972	0.1964252226
973	0.1962004978
974	0.196068935
975	0.1959364316
976	0.1958383859
977	0.1956220646
978	0.1954377969
979	0.1954189416
980	0.1952044446
981	0.1950696083
982	0.1949112393
983	0.1947637502
984	0.1945952099
985	0.1945153602
986	0.1942279488
987	0.1940431415
988	0.1940087117
989	0.1939021362
990	0.1937379953
991	0.1936477147
992	0.1934212797
993	0.1931506122
994	0.1928951866
995	0.1928534358
996	0.1927039108
997	0.1924233454
998	0.1921477868
999	0.1920961763
