,1 Lag Mean,1 Lag STD,3 Lag Mean,3 Lag STD,5 Lag Mean,5 Lag STD,7 Lag Mean,7 Lag STD
EN,0.5684210526315789,0.015145874254238613,0.5112582781456954,0.04986715389938199,0.4706666666666667,0.05707694611467732,0.4880000000000001,0.04506785008308153
SVC,0.5,0.0,0.5033112582781457,0.0,0.4333333333333334,6.206335383118183e-17,0.48,0.0
L1,0.5513157894736842,0.03493662644039933,0.5112582781456954,0.048529989299500025,0.516,0.0626453864577787,0.5506666666666666,0.012995725793078644
L2,0.5526315789473684,0.01471097353618285,0.5125827814569537,0.04696853834833682,0.5013333333333333,0.02683281572999747,0.5066666666666666,0.011547005383792493
CATBOOST,0.5644736842105262,0.02844966882952585,0.5682119205298013,0.029393829167115432,0.5586666666666666,0.03753516869402465,0.5746666666666667,0.02076321533652991
LightGBM,0.5986842105263158,0.0,0.5827814569536424,0.0,0.58,0.0,0.6066666666666667,0.0
RF,0.5855263157894737,0.004652018297279893,0.5721854304635763,0.01789305441868384,0.5706666666666667,0.012995725793078583,0.568,0.008692269873603498
