,Referee,B365H lag 7 matches,B365H lag 6 matches,B365H lag 5 matches,B365H lag 4 matches,B365H lag 3 matches,B365H lag 2 matches,B365H lag 1 match,B365H most recent match,B365D lag 7 matches,B365D lag 6 matches,B365D lag 5 matches,B365D lag 4 matches,B365D lag 3 matches,B365D lag 2 matches,B365D lag 1 match,B365D most recent match,B365A lag 7 matches,B365A lag 6 matches,B365A lag 5 matches,B365A lag 4 matches,B365A lag 3 matches,B365A lag 2 matches,B365A lag 1 match,B365A most recent match,HICT lag 7 matches,HICT lag 6 matches,HICT lag 5 matches,HICT lag 4 matches,HICT lag 3 matches,HICT lag 2 matches,HICT lag 1 match,HICT most recent match,AICT lag 7 matches,AICT lag 6 matches,AICT lag 5 matches,AICT lag 4 matches,AICT lag 3 matches,AICT lag 2 matches,AICT lag 1 match,AICT most recent match,DifICT lag 7 matches,DifICT lag 6 matches,DifICT lag 5 matches,DifICT lag 4 matches,DifICT lag 3 matches,DifICT lag 2 matches,DifICT lag 1 match,DifICT most recent match
123,A Madley,1.44,3.5,1.57,1.61,1.28,2.25,2.4,1.95,4.75,3.3,4.0,4.0,5.75,3.2,3.3,3.5,7.0,2.15,6.0,5.5,10.0,3.4,3.0,3.9,8284.1,7680.2,8703.0,8329.7,8938.300000000001,7620.7,7932.1,7921.099999999999,7833.8,8071.199999999999,8751.499999999998,7792.9,8272.300000000001,8196.4,7893.200000000001,7608.600000000001,450.3000000000002,-390.9999999999991,-48.49999999999818,536.8000000000011,666.0,-575.6999999999998,38.899999999999636,312.4999999999982
124,J Brooks,3.5,1.57,1.61,1.28,2.25,2.4,1.95,1.85,3.3,4.0,4.0,5.75,3.2,3.3,3.5,3.5,2.15,6.0,5.5,10.0,3.4,3.0,3.9,4.33,7680.2,8703.0,8329.7,8938.300000000001,7620.7,7932.1,7921.099999999999,8117.299999999999,8071.199999999999,8751.499999999998,7792.9,8272.300000000001,8196.4,7893.200000000001,7608.600000000001,7843.099999999999,-390.9999999999991,-48.49999999999818,536.8000000000011,666.0,-575.6999999999998,38.899999999999636,312.4999999999982,274.1999999999998
125,C Kavanagh,1.57,1.61,1.28,2.25,2.4,1.95,1.85,1.95,4.0,4.0,5.75,3.2,3.3,3.5,3.5,3.6,6.0,5.5,10.0,3.4,3.0,3.9,4.33,3.8,8703.0,8329.7,8938.300000000001,7620.7,7932.1,7921.099999999999,8117.299999999999,8262.8,8751.499999999998,7792.9,8272.300000000001,8196.4,7893.200000000001,7608.600000000001,7843.099999999999,7874.4000000000015,-48.49999999999818,536.8000000000011,666.0,-575.6999999999998,38.899999999999636,312.4999999999982,274.1999999999998,388.3999999999978
126,R Jones,1.61,1.28,2.25,2.4,1.95,1.85,1.95,2.37,4.0,5.75,3.2,3.3,3.5,3.5,3.6,3.5,5.5,10.0,3.4,3.0,3.9,4.33,3.8,2.87,8329.7,8938.300000000001,7620.7,7932.1,7921.099999999999,8117.299999999999,8262.8,7885.7,7792.9,8272.300000000001,8196.4,7893.200000000001,7608.600000000001,7843.099999999999,7874.4000000000015,8262.1,536.8000000000011,666.0,-575.6999999999998,38.899999999999636,312.4999999999982,274.1999999999998,388.3999999999978,-376.40000000000055
127,D Coote,1.28,2.25,2.4,1.95,1.85,1.95,2.37,10.0,5.75,3.2,3.3,3.5,3.5,3.6,3.5,5.25,10.0,3.4,3.0,3.9,4.33,3.8,2.87,1.3,8938.300000000001,7620.7,7932.1,7921.099999999999,8117.299999999999,8262.8,7885.7,7779.400000000001,8272.300000000001,8196.4,7893.200000000001,7608.600000000001,7843.099999999999,7874.4000000000015,8262.1,8699.2,666.0,-575.6999999999998,38.899999999999636,312.4999999999982,274.1999999999998,388.3999999999978,-376.40000000000055,-919.8000000000002
128,P Tierney,2.25,2.4,1.95,1.85,1.95,2.37,10.0,7.5,3.2,3.3,3.5,3.5,3.6,3.5,5.25,5.25,3.4,3.0,3.9,4.33,3.8,2.87,1.3,1.36,7620.7,7932.1,7921.099999999999,8117.299999999999,8262.8,7885.7,7779.400000000001,8246.800000000001,8196.4,7893.200000000001,7608.600000000001,7843.099999999999,7874.4000000000015,8262.1,8699.2,8910.5,-575.6999999999998,38.899999999999636,312.4999999999982,274.1999999999998,388.3999999999978,-376.40000000000055,-919.8000000000002,-663.6999999999989
129,M Dean,2.4,1.95,1.85,1.95,2.37,10.0,7.5,9.0,3.3,3.5,3.5,3.6,3.5,5.25,5.25,5.25,3.0,3.9,4.33,3.8,2.87,1.3,1.36,1.33,7932.1,7921.099999999999,8117.299999999999,8262.8,7885.7,7779.400000000001,8246.800000000001,8080.3,7893.200000000001,7608.600000000001,7843.099999999999,7874.4000000000015,8262.1,8699.2,8910.5,8920.1,38.899999999999636,312.4999999999982,274.1999999999998,388.3999999999978,-376.40000000000055,-919.8000000000002,-663.6999999999989,-839.8000000000002
130,J Moss,1.95,1.85,1.95,2.37,10.0,7.5,9.0,1.6,3.5,3.5,3.6,3.5,5.25,5.25,5.25,4.2,3.9,4.33,3.8,2.87,1.3,1.36,1.33,5.25,7921.099999999999,8117.299999999999,8262.8,7885.7,7779.400000000001,8246.800000000001,8080.3,8500.800000000001,7608.600000000001,7843.099999999999,7874.4000000000015,8262.1,8699.2,8910.5,8920.1,7568.8,312.4999999999982,274.1999999999998,388.3999999999978,-376.40000000000055,-919.8000000000002,-663.6999999999989,-839.8000000000002,932.0000000000009
131,M Atkinson,1.85,1.95,2.37,10.0,7.5,9.0,1.6,1.95,3.5,3.6,3.5,5.25,5.25,5.25,4.2,3.75,4.33,3.8,2.87,1.3,1.36,1.33,5.25,3.75,8117.299999999999,8262.8,7885.7,7779.400000000001,8246.800000000001,8080.3,8500.800000000001,8765.0,7843.099999999999,7874.4000000000015,8262.1,8699.2,8910.5,8920.1,7568.8,8152.400000000001,274.1999999999998,388.3999999999978,-376.40000000000055,-919.8000000000002,-663.6999999999989,-839.8000000000002,932.0000000000009,612.5999999999995
132,C Kavanagh,1.95,2.37,10.0,7.5,9.0,1.6,1.95,8.0,3.6,3.5,5.25,5.25,5.25,4.2,3.75,4.75,3.8,2.87,1.3,1.36,1.33,5.25,3.75,1.4,8262.8,7885.7,7779.400000000001,8246.800000000001,8080.3,8500.800000000001,8765.0,8168.599999999999,7874.4000000000015,8262.1,8699.2,8910.5,8920.1,7568.8,8152.400000000001,8982.1,388.3999999999978,-376.40000000000055,-919.8000000000002,-663.6999999999989,-839.8000000000002,932.0000000000009,612.5999999999995,-813.5000000000009
133,P Tierney,2.37,10.0,7.5,9.0,1.6,1.95,8.0,2.3,3.5,5.25,5.25,5.25,4.2,3.75,4.75,3.3,2.87,1.3,1.36,1.33,5.25,3.75,1.4,3.2,7885.7,7779.400000000001,8246.800000000001,8080.3,8500.800000000001,8765.0,8168.599999999999,7953.499999999999,8262.1,8699.2,8910.5,8920.1,7568.8,8152.400000000001,8982.1,7874.099999999999,-376.40000000000055,-919.8000000000002,-663.6999999999989,-839.8000000000002,932.0000000000009,612.5999999999995,-813.5000000000009,79.39999999999964
134,A Taylor,10.0,7.5,9.0,1.6,1.95,8.0,2.3,2.45,5.25,5.25,5.25,4.2,3.75,4.75,3.3,3.2,1.3,1.36,1.33,5.25,3.75,1.4,3.2,3.0,7779.400000000001,8246.800000000001,8080.3,8500.800000000001,8765.0,8168.599999999999,7953.499999999999,7951.4,8699.2,8910.5,8920.1,7568.8,8152.400000000001,8982.1,7874.099999999999,7922.300000000001,-919.8000000000002,-663.6999999999989,-839.8000000000002,932.0000000000009,612.5999999999995,-813.5000000000009,79.39999999999964,29.099999999998545
135,S Hooper,7.5,9.0,1.6,1.95,8.0,2.3,2.45,12.0,5.25,5.25,4.2,3.75,4.75,3.3,3.2,7.0,1.36,1.33,5.25,3.75,1.4,3.2,3.0,1.2,8246.800000000001,8080.3,8500.800000000001,8765.0,8168.599999999999,7953.499999999999,7951.4,7828.6,8910.5,8920.1,7568.8,8152.400000000001,8982.1,7874.099999999999,7922.300000000001,8987.300000000001,-663.6999999999989,-839.8000000000002,932.0000000000009,612.5999999999995,-813.5000000000009,79.39999999999964,29.099999999998545,-1158.7000000000007
136,A Marriner,9.0,1.6,1.95,8.0,2.3,2.45,12.0,4.75,5.25,4.2,3.75,4.75,3.3,3.2,7.0,3.6,1.33,5.25,3.75,1.4,3.2,3.0,1.2,1.75,8080.3,8500.800000000001,8765.0,8168.599999999999,7953.499999999999,7951.4,7828.6,8311.699999999999,8920.1,7568.8,8152.400000000001,8982.1,7874.099999999999,7922.300000000001,8987.300000000001,8747.7,-839.8000000000002,932.0000000000009,612.5999999999995,-813.5000000000009,79.39999999999964,29.099999999998545,-1158.7000000000007,-436.0000000000018
137,M Oliver,1.6,1.95,8.0,2.3,2.45,12.0,4.75,2.37,4.2,3.75,4.75,3.3,3.2,7.0,3.6,3.4,5.25,3.75,1.4,3.2,3.0,1.2,1.75,3.0,8500.800000000001,8765.0,8168.599999999999,7953.499999999999,7951.4,7828.6,8311.699999999999,8129.2,7568.8,8152.400000000001,8982.1,7874.099999999999,7922.300000000001,8987.300000000001,8747.7,8315.6,932.0000000000009,612.5999999999995,-813.5000000000009,79.39999999999964,29.099999999998545,-1158.7000000000007,-436.0000000000018,-186.40000000000055
138,C Pawson,1.95,8.0,2.3,2.45,12.0,4.75,2.37,1.5,3.75,4.75,3.3,3.2,7.0,3.6,3.4,4.33,3.75,1.4,3.2,3.0,1.2,1.75,3.0,6.5,8765.0,8168.599999999999,7953.499999999999,7951.4,7828.6,8311.699999999999,8129.2,8833.5,8152.400000000001,8982.1,7874.099999999999,7922.300000000001,8987.300000000001,8747.7,8315.6,7927.6,612.5999999999995,-813.5000000000009,79.39999999999964,29.099999999998545,-1158.7000000000007,-436.0000000000018,-186.40000000000055,905.8999999999996
139,J Gillett,8.0,2.3,2.45,12.0,4.75,2.37,1.5,1.36,4.75,3.3,3.2,7.0,3.6,3.4,4.33,5.0,1.4,3.2,3.0,1.2,1.75,3.0,6.5,8.5,8168.599999999999,7953.499999999999,7951.4,7828.6,8311.699999999999,8129.2,8833.5,8553.800000000001,8982.1,7874.099999999999,7922.300000000001,8987.300000000001,8747.7,8315.6,7927.6,7667.700000000002,-813.5000000000009,79.39999999999964,29.099999999998545,-1158.7000000000007,-436.0000000000018,-186.40000000000055,905.8999999999996,886.0999999999995
140,D Coote,2.3,2.45,12.0,4.75,2.37,1.5,1.36,1.95,3.3,3.2,7.0,3.6,3.4,4.33,5.0,3.6,3.2,3.0,1.2,1.75,3.0,6.5,8.5,3.8,7953.499999999999,7951.4,7828.6,8311.699999999999,8129.2,8833.5,8553.800000000001,7982.3,7874.099999999999,7922.300000000001,8987.300000000001,8747.7,8315.6,7927.6,7667.700000000002,7598.900000000001,79.39999999999964,29.099999999998545,-1158.7000000000007,-436.0000000000018,-186.40000000000055,905.8999999999996,886.0999999999995,383.39999999999964
141,M Dean,2.45,12.0,4.75,2.37,1.5,1.36,1.95,3.4,3.2,7.0,3.6,3.4,4.33,5.0,3.6,3.5,3.0,1.2,1.75,3.0,6.5,8.5,3.8,2.1,7951.4,7828.6,8311.699999999999,8129.2,8833.5,8553.800000000001,7982.3,8281.500000000002,7922.300000000001,8987.300000000001,8747.7,8315.6,7927.6,7667.700000000002,7598.900000000001,8217.2,29.099999999998545,-1158.7000000000007,-436.0000000000018,-186.40000000000055,905.8999999999996,886.0999999999995,383.39999999999964,64.30000000000109
142,M Oliver,12.0,4.75,2.37,1.5,1.36,1.95,3.4,2.25,7.0,3.6,3.4,4.33,5.0,3.6,3.5,3.3,1.2,1.75,3.0,6.5,8.5,3.8,2.1,3.3,7828.6,8311.699999999999,8129.2,8833.5,8553.800000000001,7982.3,8281.500000000002,7653.5,8987.300000000001,8747.7,8315.6,7927.6,7667.700000000002,7598.900000000001,8217.2,7850.0,-1158.7000000000007,-436.0000000000018,-186.40000000000055,905.8999999999996,886.0999999999995,383.39999999999964,64.30000000000109,-196.5
143,D England,4.75,2.37,1.5,1.36,1.95,3.4,2.25,7.0,3.6,3.4,4.33,5.0,3.6,3.5,3.3,4.5,1.75,3.0,6.5,8.5,3.8,2.1,3.3,1.45,8311.699999999999,8129.2,8833.5,8553.800000000001,7982.3,8281.500000000002,7653.5,7727.7,8747.7,8315.6,7927.6,7667.700000000002,7598.900000000001,8217.2,7850.0,8780.199999999999,-436.0000000000018,-186.40000000000055,905.8999999999996,886.0999999999995,383.39999999999964,64.30000000000109,-196.5,-1052.499999999999
144,C Kavanagh,2.37,1.5,1.36,1.95,3.4,2.25,7.0,1.25,3.4,4.33,5.0,3.6,3.5,3.3,4.5,5.75,3.0,6.5,8.5,3.8,2.1,3.3,1.45,12.0,8129.2,8833.5,8553.800000000001,7982.3,8281.500000000002,7653.5,7727.7,8768.4,8315.6,7927.6,7667.700000000002,7598.900000000001,8217.2,7850.0,8780.199999999999,7931.999999999999,-186.40000000000055,905.8999999999996,886.0999999999995,383.39999999999964,64.30000000000109,-196.5,-1052.499999999999,836.4000000000005
145,J Gillett,1.5,1.36,1.95,3.4,2.25,7.0,1.25,1.61,4.33,5.0,3.6,3.5,3.3,4.5,5.75,4.0,6.5,8.5,3.8,2.1,3.3,1.45,12.0,5.5,8833.5,8553.800000000001,7982.3,8281.500000000002,7653.5,7727.7,8768.4,8363.9,7927.6,7667.700000000002,7598.900000000001,8217.2,7850.0,8780.199999999999,7931.999999999999,7950.799999999999,905.8999999999996,886.0999999999995,383.39999999999964,64.30000000000109,-196.5,-1052.499999999999,836.4000000000005,413.10000000000036
146,S Attwell,1.36,1.95,3.4,2.25,7.0,1.25,1.61,1.2,5.0,3.6,3.5,3.3,4.5,5.75,4.0,7.0,8.5,3.8,2.1,3.3,1.45,12.0,5.5,13.0,8553.800000000001,7982.3,8281.500000000002,7653.5,7727.7,8768.4,8363.9,8950.3,7667.700000000002,7598.900000000001,8217.2,7850.0,8780.199999999999,7931.999999999999,7950.799999999999,8125.8,886.0999999999995,383.39999999999964,64.30000000000109,-196.5,-1052.499999999999,836.4000000000005,413.10000000000036,824.4999999999991
147,J Moss,1.95,3.4,2.25,7.0,1.25,1.61,1.2,1.14,3.6,3.5,3.3,4.5,5.75,4.0,7.0,8.0,3.8,2.1,3.3,1.45,12.0,5.5,13.0,19.0,7982.3,8281.500000000002,7653.5,7727.7,8768.4,8363.9,8950.3,9011.300000000001,7598.900000000001,8217.2,7850.0,8780.199999999999,7931.999999999999,7950.799999999999,8125.8,8101.899999999999,383.39999999999964,64.30000000000109,-196.5,-1052.499999999999,836.4000000000005,413.10000000000036,824.4999999999991,909.4000000000024
148,A Madley,3.4,2.25,7.0,1.25,1.61,1.2,1.14,2.3,3.5,3.3,4.5,5.75,4.0,7.0,8.0,3.2,2.1,3.3,1.45,12.0,5.5,13.0,19.0,3.3,8281.500000000002,7653.5,7727.7,8768.4,8363.9,8950.3,9011.300000000001,7953.999999999999,8217.2,7850.0,8780.199999999999,7931.999999999999,7950.799999999999,8125.8,8101.899999999999,8254.8,64.30000000000109,-196.5,-1052.499999999999,836.4000000000005,413.10000000000036,824.4999999999991,909.4000000000024,-300.8000000000002
149,P Bankes,2.25,7.0,1.25,1.61,1.2,1.14,2.3,1.66,3.3,4.5,5.75,4.0,7.0,8.0,3.2,4.1,3.3,1.45,12.0,5.5,13.0,19.0,3.3,4.75,7653.5,7727.7,8768.4,8363.9,8950.3,9011.300000000001,7953.999999999999,8412.7,7850.0,8780.199999999999,7931.999999999999,7950.799999999999,8125.8,8101.899999999999,8254.8,7868.0,-196.5,-1052.499999999999,836.4000000000005,413.10000000000036,824.4999999999991,909.4000000000024,-300.8000000000002,544.7000000000007
150,G Scott,7.0,1.25,1.61,1.2,1.14,2.3,1.66,3.6,4.5,5.75,4.0,7.0,8.0,3.2,4.1,3.6,1.45,12.0,5.5,13.0,19.0,3.3,4.75,2.0,7727.7,8768.4,8363.9,8950.3,9011.300000000001,7953.999999999999,8412.7,7921.699999999999,8780.199999999999,7931.999999999999,7950.799999999999,8125.8,8101.899999999999,8254.8,7868.0,8305.6,-1052.499999999999,836.4000000000005,413.10000000000036,824.4999999999991,909.4000000000024,-300.8000000000002,544.7000000000007,-383.90000000000146
151,D Coote,1.25,1.61,1.2,1.14,2.3,1.66,3.6,3.3,5.75,4.0,7.0,8.0,3.2,4.1,3.6,3.3,12.0,5.5,13.0,19.0,3.3,4.75,2.0,2.25,8768.4,8363.9,8950.3,9011.300000000001,7953.999999999999,8412.7,7921.699999999999,7779.2,7931.999999999999,7950.799999999999,8125.8,8101.899999999999,8254.8,7868.0,8305.6,8154.7,836.4000000000005,413.10000000000036,824.4999999999991,909.4000000000024,-300.8000000000002,544.7000000000007,-383.90000000000146,-375.5
152,P Tierney,1.61,1.2,1.14,2.3,1.66,3.6,3.3,1.14,4.0,7.0,8.0,3.2,4.1,3.6,3.3,8.5,5.5,13.0,19.0,3.3,4.75,2.0,2.25,15.0,8363.9,8950.3,9011.300000000001,7953.999999999999,8412.7,7921.699999999999,7779.2,9096.800000000001,7950.799999999999,8125.8,8101.899999999999,8254.8,7868.0,8305.6,8154.7,7983.099999999999,413.10000000000036,824.4999999999991,909.4000000000024,-300.8000000000002,544.7000000000007,-383.90000000000146,-375.5,1113.7000000000016
153,A Taylor,1.2,1.14,2.3,1.66,3.6,3.3,1.14,2.1,7.0,8.0,3.2,4.1,3.6,3.3,8.5,3.6,13.0,19.0,3.3,4.75,2.0,2.25,15.0,3.3,8950.3,9011.300000000001,7953.999999999999,8412.7,7921.699999999999,7779.2,9096.800000000001,8434.9,8125.8,8101.899999999999,8254.8,7868.0,8305.6,8154.7,7983.099999999999,8357.300000000001,824.4999999999991,909.4000000000024,-300.8000000000002,544.7000000000007,-383.90000000000146,-375.5,1113.7000000000016,77.59999999999854
154,T Harrington,1.14,2.3,1.66,3.6,3.3,1.14,2.1,2.25,8.0,3.2,4.1,3.6,3.3,8.5,3.6,3.1,19.0,3.3,4.75,2.0,2.25,15.0,3.3,3.5,9011.300000000001,7953.999999999999,8412.7,7921.699999999999,7779.2,9096.800000000001,8434.9,7972.999999999999,8101.899999999999,8254.8,7868.0,8305.6,8154.7,7983.099999999999,8357.300000000001,8130.5999999999985,909.4000000000024,-300.8000000000002,544.7000000000007,-383.90000000000146,-375.5,1113.7000000000016,77.59999999999854,-157.59999999999945
155,S Hooper,2.3,1.66,3.6,3.3,1.14,2.1,2.25,2.15,3.2,4.1,3.6,3.3,8.5,3.6,3.1,3.3,3.3,4.75,2.0,2.25,15.0,3.3,3.5,3.5,7953.999999999999,8412.7,7921.699999999999,7779.2,9096.800000000001,8434.9,7972.999999999999,8026.099999999999,8254.8,7868.0,8305.6,8154.7,7983.099999999999,8357.300000000001,8130.5999999999985,7986.199999999999,-300.8000000000002,544.7000000000007,-383.90000000000146,-375.5,1113.7000000000016,77.59999999999854,-157.59999999999945,39.900000000000546
156,M Dean,1.66,3.6,3.3,1.14,2.1,2.25,2.15,1.12,4.1,3.6,3.3,8.5,3.6,3.1,3.3,9.0,4.75,2.0,2.25,15.0,3.3,3.5,3.5,19.0,8412.7,7921.699999999999,7779.2,9096.800000000001,8434.9,7972.999999999999,8026.099999999999,9024.599999999999,7868.0,8305.6,8154.7,7983.099999999999,8357.300000000001,8130.5999999999985,7986.199999999999,7913.1,544.7000000000007,-383.90000000000146,-375.5,1113.7000000000016,77.59999999999854,-157.59999999999945,39.900000000000546,1111.4999999999982
157,M Oliver,3.6,3.3,1.14,2.1,2.25,2.15,1.12,1.22,3.6,3.3,8.5,3.6,3.1,3.3,9.0,6.5,2.0,2.25,15.0,3.3,3.5,3.5,19.0,13.0,7921.699999999999,7779.2,9096.800000000001,8434.9,7972.999999999999,8026.099999999999,9024.599999999999,8829.6,8305.6,8154.7,7983.099999999999,8357.300000000001,8130.5999999999985,7986.199999999999,7913.1,8301.8,-383.90000000000146,-375.5,1113.7000000000016,77.59999999999854,-157.59999999999945,39.900000000000546,1111.4999999999982,527.8000000000011
158,A Marriner,3.3,1.14,2.1,2.25,2.15,1.12,1.22,3.9,3.3,8.5,3.6,3.1,3.3,9.0,6.5,3.8,2.25,15.0,3.3,3.5,3.5,19.0,13.0,1.83,7779.2,9096.800000000001,8434.9,7972.999999999999,8026.099999999999,9024.599999999999,8829.6,8045.5,8154.7,7983.099999999999,8357.300000000001,8130.5999999999985,7986.199999999999,7913.1,8301.8,8266.400000000001,-375.5,1113.7000000000016,77.59999999999854,-157.59999999999945,39.900000000000546,1111.4999999999982,527.8000000000011,-220.90000000000146
159,M Atkinson,1.14,2.1,2.25,2.15,1.12,1.22,3.9,13.0,8.5,3.6,3.1,3.3,9.0,6.5,3.8,7.5,15.0,3.3,3.5,3.5,19.0,13.0,1.83,1.18,9096.800000000001,8434.9,7972.999999999999,8026.099999999999,9024.599999999999,8829.6,8045.5,8012.199999999999,7983.099999999999,8357.300000000001,8130.5999999999985,7986.199999999999,7913.1,8301.8,8266.400000000001,9095.2,1113.7000000000016,77.59999999999854,-157.59999999999945,39.900000000000546,1111.4999999999982,527.8000000000011,-220.90000000000146,-1083.0000000000018
160,P Tierney,2.1,2.25,2.15,1.12,1.22,3.9,13.0,5.25,3.6,3.1,3.3,9.0,6.5,3.8,7.5,4.75,3.3,3.5,3.5,19.0,13.0,1.83,1.18,1.53,8434.9,7972.999999999999,8026.099999999999,9024.599999999999,8829.6,8045.5,8012.199999999999,8614.7,8357.300000000001,8130.5999999999985,7986.199999999999,7913.1,8301.8,8266.400000000001,9095.2,9045.9,77.59999999999854,-157.59999999999945,39.900000000000546,1111.4999999999982,527.8000000000011,-220.90000000000146,-1083.0000000000018,-431.1999999999989
161,D Coote,2.25,2.15,1.12,1.22,3.9,13.0,5.25,7.0,3.1,3.3,9.0,6.5,3.8,7.5,4.75,4.2,3.5,3.5,19.0,13.0,1.83,1.18,1.53,1.5,7972.999999999999,8026.099999999999,9024.599999999999,8829.6,8045.5,8012.199999999999,8614.7,8194.3,8130.5999999999985,7986.199999999999,7913.1,8301.8,8266.400000000001,9095.2,9045.9,8821.800000000001,-157.59999999999945,39.900000000000546,1111.4999999999982,527.8000000000011,-220.90000000000146,-1083.0000000000018,-431.1999999999989,-627.5000000000018
162,J Moss,2.15,1.12,1.22,3.9,13.0,5.25,7.0,1.72,3.3,9.0,6.5,3.8,7.5,4.75,4.2,3.8,3.5,19.0,13.0,1.83,1.18,1.53,1.5,4.75,8026.099999999999,9024.599999999999,8829.6,8045.5,8012.199999999999,8614.7,8194.3,8671.300000000001,7986.199999999999,7913.1,8301.8,8266.400000000001,9095.2,9045.9,8821.800000000001,7960.900000000001,39.900000000000546,1111.4999999999982,527.8000000000011,-220.90000000000146,-1083.0000000000018,-431.1999999999989,-627.5000000000018,710.4000000000005
163,M Atkinson,1.12,1.22,3.9,13.0,5.25,7.0,1.72,5.25,9.0,6.5,3.8,7.5,4.75,4.2,3.8,3.8,19.0,13.0,1.83,1.18,1.53,1.5,4.75,1.65,9024.599999999999,8829.6,8045.5,8012.199999999999,8614.7,8194.3,8671.300000000001,8194.1,7913.1,8301.8,8266.400000000001,9095.2,9045.9,8821.800000000001,7960.900000000001,8867.500000000002,1111.4999999999982,527.8000000000011,-220.90000000000146,-1083.0000000000018,-431.1999999999989,-627.5000000000018,710.4000000000005,-673.4000000000015
164,K Friend,1.22,3.9,13.0,5.25,7.0,1.72,5.25,1.8,6.5,3.8,7.5,4.75,4.2,3.8,3.8,3.9,13.0,1.83,1.18,1.53,1.5,4.75,1.65,4.2,8829.6,8045.5,8012.199999999999,8614.7,8194.3,8671.300000000001,8194.1,8363.3,8301.8,8266.400000000001,9095.2,9045.9,8821.800000000001,7960.900000000001,8867.500000000002,8036.899999999999,527.8000000000011,-220.90000000000146,-1083.0000000000018,-431.1999999999989,-627.5000000000018,710.4000000000005,-673.4000000000015,326.40000000000055
165,C Kavanagh,3.9,13.0,5.25,7.0,1.72,5.25,1.8,1.18,3.8,7.5,4.75,4.2,3.8,3.8,3.9,7.5,1.83,1.18,1.53,1.5,4.75,1.65,4.2,13.0,8045.5,8012.199999999999,8614.7,8194.3,8671.300000000001,8194.1,8363.3,9219.000000000002,8266.400000000001,9095.2,9045.9,8821.800000000001,7960.900000000001,8867.500000000002,8036.899999999999,8366.7,-220.90000000000146,-1083.0000000000018,-431.1999999999989,-627.5000000000018,710.4000000000005,-673.4000000000015,326.40000000000055,852.3000000000011
166,G Scott,13.0,5.25,7.0,1.72,5.25,1.8,1.18,8.0,7.5,4.75,4.2,3.8,3.8,3.9,7.5,4.75,1.18,1.53,1.5,4.75,1.65,4.2,13.0,1.4,8012.199999999999,8614.7,8194.3,8671.300000000001,8194.1,8363.3,9219.000000000002,7822.4,9095.2,9045.9,8821.800000000001,7960.900000000001,8867.500000000002,8036.899999999999,8366.7,8352.100000000002,-1083.0000000000018,-431.1999999999989,-627.5000000000018,710.4000000000005,-673.4000000000015,326.40000000000055,852.3000000000011,-529.7000000000025
167,D England,5.25,7.0,1.72,5.25,1.8,1.18,8.0,1.9,4.75,4.2,3.8,3.8,3.9,7.5,4.75,3.4,1.53,1.5,4.75,1.65,4.2,13.0,1.4,4.2,8614.7,8194.3,8671.300000000001,8194.1,8363.3,9219.000000000002,7822.4,8010.699999999999,9045.9,8821.800000000001,7960.900000000001,8867.500000000002,8036.899999999999,8366.7,8352.100000000002,7647.900000000001,-431.1999999999989,-627.5000000000018,710.4000000000005,-673.4000000000015,326.40000000000055,852.3000000000011,-529.7000000000025,362.79999999999836
168,C Pawson,7.0,1.72,5.25,1.8,1.18,8.0,1.9,6.5,4.2,3.8,3.8,3.9,7.5,4.75,3.4,4.75,1.5,4.75,1.65,4.2,13.0,1.4,4.2,1.44,8194.3,8671.300000000001,8194.1,8363.3,9219.000000000002,7822.4,8010.699999999999,8034.299999999999,8821.800000000001,7960.900000000001,8867.500000000002,8036.899999999999,8366.7,8352.100000000002,7647.900000000001,8832.9,-627.5000000000018,710.4000000000005,-673.4000000000015,326.40000000000055,852.3000000000011,-529.7000000000025,362.79999999999836,-798.6000000000004
169,M Oliver,1.72,5.25,1.8,1.18,8.0,1.9,6.5,8.0,3.8,3.8,3.9,7.5,4.75,3.4,4.75,5.5,4.75,1.65,4.2,13.0,1.4,4.2,1.44,1.33,8671.300000000001,8194.1,8363.3,9219.000000000002,7822.4,8010.699999999999,8034.299999999999,8468.2,7960.900000000001,8867.500000000002,8036.899999999999,8366.7,8352.100000000002,7647.900000000001,8832.9,9116.8,710.4000000000005,-673.4000000000015,326.40000000000055,852.3000000000011,-529.7000000000025,362.79999999999836,-798.6000000000004,-648.5999999999985
170,D England,5.25,1.8,1.18,8.0,1.9,6.5,8.0,3.4,3.8,3.9,7.5,4.75,3.4,4.75,5.5,3.6,1.65,4.2,13.0,1.4,4.2,1.44,1.33,2.1,8194.1,8363.3,9219.000000000002,7822.4,8010.699999999999,8034.299999999999,8468.2,7874.900000000001,8867.500000000002,8036.899999999999,8366.7,8352.100000000002,7647.900000000001,8832.9,9116.8,8391.800000000001,-673.4000000000015,326.40000000000055,852.3000000000011,-529.7000000000025,362.79999999999836,-798.6000000000004,-648.5999999999985,-516.9000000000005
171,P Tierney,1.8,1.18,8.0,1.9,6.5,8.0,3.4,1.65,3.9,7.5,4.75,3.4,4.75,5.5,3.6,3.75,4.2,13.0,1.4,4.2,1.44,1.33,2.1,5.5,8363.3,9219.000000000002,7822.4,8010.699999999999,8034.299999999999,8468.2,7874.900000000001,8078.799999999999,8036.899999999999,8366.7,8352.100000000002,7647.900000000001,8832.9,9116.8,8391.800000000001,7708.4000000000015,326.40000000000055,852.3000000000011,-529.7000000000025,362.79999999999836,-798.6000000000004,-648.5999999999985,-516.9000000000005,370.3999999999978
