,Referee,B365H lag 7 matches,B365H lag 6 matches,B365H lag 5 matches,B365H lag 4 matches,B365H lag 3 matches,B365H lag 2 matches,B365H lag 1 match,B365H most recent match,B365D lag 7 matches,B365D lag 6 matches,B365D lag 5 matches,B365D lag 4 matches,B365D lag 3 matches,B365D lag 2 matches,B365D lag 1 match,B365D most recent match,B365A lag 7 matches,B365A lag 6 matches,B365A lag 5 matches,B365A lag 4 matches,B365A lag 3 matches,B365A lag 2 matches,B365A lag 1 match,B365A most recent match,HICT lag 7 matches,HICT lag 6 matches,HICT lag 5 matches,HICT lag 4 matches,HICT lag 3 matches,HICT lag 2 matches,HICT lag 1 match,HICT most recent match,AICT lag 7 matches,AICT lag 6 matches,AICT lag 5 matches,AICT lag 4 matches,AICT lag 3 matches,AICT lag 2 matches,AICT lag 1 match,AICT most recent match,DifICT lag 7 matches,DifICT lag 6 matches,DifICT lag 5 matches,DifICT lag 4 matches,DifICT lag 3 matches,DifICT lag 2 matches,DifICT lag 1 match,DifICT most recent match
76,K Friend,8.5,3.5,2.5,1.6,1.83,1.9,1.65,8.0,5.5,3.6,3.4,3.8,3.75,3.6,3.8,4.75,1.33,2.05,2.8,6.0,4.2,4.0,5.5,1.4,7635.9,7774.2,8082.700000000001,8092.2,8152.599999999999,7792.599999999999,8134.900000000001,7818.599999999999,8656.1,8312.999999999998,8091.1,7729.1,7989.5,7766.1,7675.2,8756.8,-1020.2000000000007,-538.7999999999984,-8.399999999999636,363.09999999999945,163.09999999999945,26.49999999999909,459.7000000000007,-938.1999999999998
77,R Jones,3.5,2.5,1.6,1.83,1.9,1.65,8.0,2.4,3.6,3.4,3.8,3.75,3.6,3.8,4.75,3.4,2.05,2.8,6.0,4.2,4.0,5.5,1.4,2.87,7774.2,8082.700000000001,8092.2,8152.599999999999,7792.599999999999,8134.900000000001,7818.599999999999,7820.8,8312.999999999998,8091.1,7729.1,7989.5,7766.1,7675.2,8756.8,8007.899999999999,-538.7999999999984,-8.399999999999636,363.09999999999945,163.09999999999945,26.49999999999909,459.7000000000007,-938.1999999999998,-187.09999999999854
78,A Madley,2.5,1.6,1.83,1.9,1.65,8.0,2.4,1.18,3.4,3.8,3.75,3.6,3.8,4.75,3.4,7.0,2.8,6.0,4.2,4.0,5.5,1.4,2.87,15.0,8082.700000000001,8092.2,8152.599999999999,7792.599999999999,8134.900000000001,7818.599999999999,7820.8,8522.0,8091.1,7729.1,7989.5,7766.1,7675.2,8756.8,8007.899999999999,7545.000000000001,-8.399999999999636,363.09999999999945,163.09999999999945,26.49999999999909,459.7000000000007,-938.1999999999998,-187.09999999999854,976.9999999999991
79,C Kavanagh,1.6,1.83,1.9,1.65,8.0,2.4,1.18,1.95,3.8,3.75,3.6,3.8,4.75,3.4,7.0,3.5,6.0,4.2,4.0,5.5,1.4,2.87,15.0,3.9,8092.2,8152.599999999999,7792.599999999999,8134.900000000001,7818.599999999999,7820.8,8522.0,7779.7,7729.1,7989.5,7766.1,7675.2,8756.8,8007.899999999999,7545.000000000001,7762.0,363.09999999999945,163.09999999999945,26.49999999999909,459.7000000000007,-938.1999999999998,-187.09999999999854,976.9999999999991,17.699999999999818
80,P Tierney,1.83,1.9,1.65,8.0,2.4,1.18,1.95,2.3,3.75,3.6,3.8,4.75,3.4,7.0,3.5,3.5,4.2,4.0,5.5,1.4,2.87,15.0,3.9,3.0,8152.599999999999,7792.599999999999,8134.900000000001,7818.599999999999,7820.8,8522.0,7779.7,8161.4,7989.5,7766.1,7675.2,8756.8,8007.899999999999,7545.000000000001,7762.0,8380.399999999998,163.09999999999945,26.49999999999909,459.7000000000007,-938.1999999999998,-187.09999999999854,976.9999999999991,17.699999999999818,-218.99999999999818
81,A Taylor,1.9,1.65,8.0,2.4,1.18,1.95,2.3,3.1,3.6,3.8,4.75,3.4,7.0,3.5,3.5,3.6,4.0,5.5,1.4,2.87,15.0,3.9,3.0,2.2,7792.599999999999,8134.900000000001,7818.599999999999,7820.8,8522.0,7779.7,8161.4,8694.9,7766.1,7675.2,8756.8,8007.899999999999,7545.000000000001,7762.0,8380.399999999998,8745.6,26.49999999999909,459.7000000000007,-938.1999999999998,-187.09999999999854,976.9999999999991,17.699999999999818,-218.99999999999818,-50.70000000000073
82,S Hooper,1.65,8.0,2.4,1.18,1.95,2.3,3.1,2.62,3.8,4.75,3.4,7.0,3.5,3.5,3.6,3.3,5.5,1.4,2.87,15.0,3.9,3.0,2.2,2.7,8134.900000000001,7818.599999999999,7820.8,8522.0,7779.7,8161.4,8694.9,7483.099999999999,7675.2,8756.8,8007.899999999999,7545.000000000001,7762.0,8380.399999999998,8745.6,8171.6,459.7000000000007,-938.1999999999998,-187.09999999999854,976.9999999999991,17.699999999999818,-218.99999999999818,-50.70000000000073,-688.5000000000009
83,S Attwell,8.0,2.4,1.18,1.95,2.3,3.1,2.62,2.87,4.75,3.4,7.0,3.5,3.5,3.6,3.3,3.6,1.4,2.87,15.0,3.9,3.0,2.2,2.7,2.37,7818.599999999999,7820.8,8522.0,7779.7,8161.4,8694.9,7483.099999999999,8407.6,8756.8,8007.899999999999,7545.000000000001,7762.0,8380.399999999998,8745.6,8171.6,8645.199999999999,-938.1999999999998,-187.09999999999854,976.9999999999991,17.699999999999818,-218.99999999999818,-50.70000000000073,-688.5000000000009,-237.59999999999854
84,P Bankes,2.4,1.18,1.95,2.3,3.1,2.62,2.87,3.2,3.4,7.0,3.5,3.5,3.6,3.3,3.6,3.3,2.87,15.0,3.9,3.0,2.2,2.7,2.37,2.3,7820.8,8522.0,7779.7,8161.4,8694.9,7483.099999999999,8407.6,7667.5,8007.899999999999,7545.000000000001,7762.0,8380.399999999998,8745.6,8171.6,8645.199999999999,7793.999999999999,-187.09999999999854,976.9999999999991,17.699999999999818,-218.99999999999818,-50.70000000000073,-688.5000000000009,-237.59999999999854,-126.49999999999909
85,P Tierney,1.18,1.95,2.3,3.1,2.62,2.87,3.2,8.5,7.0,3.5,3.5,3.6,3.3,3.6,3.3,5.0,15.0,3.9,3.0,2.2,2.7,2.37,2.3,1.36,8522.0,7779.7,8161.4,8694.9,7483.099999999999,8407.6,7667.5,7812.099999999999,7545.000000000001,7762.0,8380.399999999998,8745.6,8171.6,8645.199999999999,7793.999999999999,8566.300000000001,976.9999999999991,17.699999999999818,-218.99999999999818,-50.70000000000073,-688.5000000000009,-237.59999999999854,-126.49999999999909,-754.2000000000016
