,Split 1,Split 2,Combined,STD
Lag 1,0.4144736842105263,0.48026315789473684,0.4473684210526316,0.04652018297279917
Lag 3,0.4105960264900662,0.4768211920529801,0.44370860927152317,0.04682826365473825
Lag 5,0.4066666666666667,0.47333333333333333,0.44,0.04714045207910316
Lag 7,0.4066666666666667,0.47333333333333333,0.44,0.04714045207910316
