,Referee,B365H,B365D,B365A,HICT,AICT,DifICT,Result
182,J Moss,1.36,5.0,9.0,8896.9,7910.7,986.1999999999998,2.0
183,S Attwell,5.75,4.75,1.5,8507.5,9233.900000000001,-726.4000000000015,0.0
184,R Jones,5.0,4.2,1.61,7925.8,8534.199999999997,-608.3999999999969,0.0
185,D England,3.1,3.4,2.3,8156.4,8463.7,-307.3000000000011,0.0
186,P Tierney,2.05,3.5,3.5,8081.7,7954.5,127.19999999999982,2.0
187,C Pawson,3.0,3.3,2.4,7733.6,8236.2,-502.60000000000036,2.0
188,J Brooks,2.75,3.2,2.62,8326.000000000002,8031.600000000001,294.40000000000055,0.0
189,A Taylor,3.1,3.5,2.25,8961.6,9182.599999999999,-220.99999999999818,1.0
190,M Dean,1.53,4.33,6.0,8956.6,8169.999999999998,786.6000000000022,0.0
191,S Attwell,2.05,3.4,3.6,8039.499999999999,7703.400000000001,336.09999999999854,2.0
192,S Hooper,1.28,5.5,10.0,8424.0,7754.600000000001,669.3999999999987,2.0
193,R Jones,2.05,3.3,3.8,8067.5999999999985,7985.8,81.79999999999836,1.0
194,M Salisbury,2.25,3.2,3.4,8221.9,8093.899999999999,128.0000000000009,2.0
195,C Pawson,1.65,4.0,5.0,9306.600000000002,8925.300000000001,381.3000000000011,2.0
196,P Tierney,2.0,3.6,3.6,8082.4,7884.9,197.5,1.0
197,D Coote,2.87,3.5,2.4,8230.5,8892.5,-662.0,1.0
198,A Madley,3.75,3.5,2.0,7844.7,8336.699999999999,-491.9999999999991,2.0
199,J Moss,1.3,5.5,10.0,9107.199999999999,7744.8,1362.3999999999987,2.0
200,M Dean,1.61,4.2,5.0,8483.9,8012.9,471.0,0.0
201,K Friend,4.75,3.75,1.72,8119.999999999998,8953.6,-833.6000000000022,1.0
202,J Moss,3.0,3.5,2.3,8512.7,8617.799999999997,-105.09999999999673,0.0
203,A Marriner,4.5,3.7,1.8,7776.1,8947.5,-1171.3999999999996,0.0
204,M Dean,2.0,3.5,3.75,7959.0,7786.9000000000015,172.09999999999854,0.0
205,S Hooper,10.0,6.5,1.25,8098.299999999999,9293.400000000001,-1195.1000000000022,1.0
206,C Pawson,2.75,3.25,2.62,8391.500000000002,8292.6,98.90000000000146,0.0
207,C Kavanagh,2.0,3.5,3.75,8161.7,7941.1,220.59999999999945,0.0
208,J Moss,1.85,3.8,4.0,8997.0,8524.1,472.89999999999964,2.0
209,P Bankes,3.2,2.8,2.6,7845.1,8228.699999999999,-383.59999999999854,0.0
210,M Atkinson,2.5,3.25,2.9,8568.400000000001,8093.4000000000015,475.0,1.0
211,P Tierney,1.61,4.2,5.0,9021.0,8716.799999999997,304.20000000000255,2.0
212,D Coote,1.36,4.75,9.0,8535.0,7991.0,544.0,1.0
213,K Friend,6.0,4.2,1.53,8233.9,9232.899999999998,-998.9999999999982,0.0
214,C Pawson,2.2,3.25,3.5,7958.299999999999,7944.2,14.099999999999454,1.0
215,M Dean,5.5,4.0,1.61,7995.099999999999,9022.5,-1027.4000000000005,1.0
216,A Taylor,2.5,3.25,2.87,8128.799999999999,8388.999999999998,-260.1999999999989,2.0
217,M Atkinson,1.55,4.2,5.75,8549.699999999999,7993.599999999999,556.0999999999995,2.0
218,D Coote,1.6,4.0,5.5,8754.400000000001,8142.899999999999,611.5000000000027,0.0
219,D England,1.1,9.5,23.0,9354.700000000003,7781.400000000001,1573.300000000002,2.0
220,P Tierney,3.5,3.25,2.15,7891.3,8016.6,-125.30000000000018,1.0
221,J Gillett,1.8,3.8,4.2,8296.8,8087.7,209.09999999999945,1.0
222,M Oliver,3.5,3.2,2.2,8275.5,8424.600000000002,-149.10000000000218,0.0
223,C Kavanagh,1.25,6.5,10.0,9202.699999999999,8426.1,776.5999999999985,2.0
224,G Scott,2.25,3.5,3.0,8436.800000000001,8147.7,289.1000000000013,2.0
225,S Attwell,1.6,4.0,5.5,9058.0,8221.699999999999,836.3000000000011,1.0
226,S Hooper,2.55,3.1,3.0,7889.200000000001,8061.1,-171.89999999999964,1.0
227,J Moss,3.5,3.3,2.05,8003.7,8154.000000000002,-150.300000000002,0.0
228,A Marriner,15.0,8.0,1.16,7922.2,9369.100000000002,-1446.9000000000024,0.0
229,K Friend,1.7,3.6,5.5,8804.500000000002,8272.999999999998,531.5000000000036,0.0
230,M Oliver,2.9,3.5,2.3,8626.100000000002,8550.4,75.70000000000255,1.0
231,C Pawson,2.7,3.3,2.62,8198.4,8329.9,-131.5,2.0
232,M Atkinson,10.0,5.25,1.28,8036.299999999999,9292.399999999998,-1256.0999999999985,0.0
233,P Bankes,1.72,3.75,4.75,9113.9,8214.800000000001,899.0999999999985,2.0
234,K Friend,1.66,3.5,6.0,8173.199999999998,8028.9,144.29999999999836,0.0
235,M Dean,1.1,9.0,23.0,9285.4,7826.000000000002,1459.3999999999978,2.0
236,D Coote,5.5,3.8,1.65,8270.3,9008.300000000001,-738.0000000000018,0.0
237,J Moss,1.44,4.2,8.0,8598.4,7808.6,789.7999999999993,2.0
238,A Taylor,1.28,6.0,10.0,9413.400000000003,8749.699999999997,663.7000000000062,0.0
239,C Kavanagh,1.7,4.0,4.75,8596.599999999999,7995.900000000001,600.699999999998,1.0
240,R Jones,1.65,3.6,5.75,8354.9,8023.299999999999,331.60000000000036,0.0
241,A Madley,2.1,3.5,3.5,8137.4,8433.599999999999,-296.1999999999989,2.0
242,P Tierney,3.9,3.8,1.85,8213.0,9100.3,-887.2999999999993,0.0
243,C Pawson,2.25,3.3,3.25,8330.2,8460.0,-129.79999999999927,2.0
244,A Marriner,3.1,3.3,2.3,8035.599999999999,8096.400000000001,-60.80000000000109,0.0
245,M Oliver,1.16,8.0,15.0,9388.0,8184.3,1203.6999999999998,2.0
246,G Scott,4.6,3.8,1.75,8070.9,8799.399999999998,-728.4999999999982,2.0
247,M Atkinson,1.65,3.8,5.5,8684.1,8327.799999999997,356.3000000000029,2.0
248,S Hooper,1.53,4.33,6.0,8219.3,7864.200000000002,355.09999999999764,2.0
249,J Moss,1.9,3.6,4.0,8302.9,8079.799999999999,223.10000000000036,1.0
250,C Pawson,4.2,3.6,1.85,8276.6,8852.199999999997,-575.5999999999967,0.0
251,K Friend,1.3,5.5,9.5,9190.0,8066.999999999999,1123.000000000001,1.0
252,M Dean,2.5,3.2,3.0,7932.000000000001,8052.500000000001,-120.5,0.0
253,P Tierney,10.0,5.75,1.28,8517.800000000001,9466.700000000003,-948.9000000000015,0.0
254,J Brooks,2.2,3.3,3.5,8212.199999999997,8363.3,-151.10000000000218,0.0
255,A Taylor,2.05,3.3,3.8,8648.999999999998,8364.399999999998,284.60000000000036,2.0
256,C Kavanagh,2.9,3.4,2.4,8129.299999999999,8518.8,-389.5,0.0
257,A Madley,2.3,3.1,3.4,8382.900000000001,8149.8,233.10000000000127,0.0
258,P Bankes,2.3,3.5,3.0,8416.5,8272.599999999999,143.90000000000146,2.0
259,A Marriner,6.5,4.33,1.5,8171.799999999999,9048.300000000001,-876.5000000000018,0.0
260,M Atkinson,2.75,3.2,2.62,8232.9,8256.800000000001,-23.900000000001455,2.0
261,D Coote,1.75,4.0,4.2,8677.600000000002,8205.9,471.70000000000255,2.0
262,J Moss,1.28,5.75,9.5,9488.3,8593.1,895.1999999999989,2.0
263,A Taylor,2.9,3.1,2.5,7962.7,7848.400000000001,114.29999999999927,0.0
264,C Pawson,6.0,4.0,1.57,8072.099999999999,8483.700000000003,-411.6000000000031,0.0
265,M Oliver,1.4,4.75,7.5,9486.800000000003,9176.4,310.4000000000033,2.0
266,S Attwell,1.57,3.8,5.75,8866.200000000003,8466.399999999998,399.80000000000473,2.0
267,M Atkinson,11.0,4.75,1.3,8013.5,9122.000000000002,-1108.5000000000018,0.0
268,K Friend,2.0,3.75,3.5,8301.5,8140.900000000001,160.59999999999945,0.0
269,S Hooper,2.7,3.5,2.5,8329.5,8405.699999999999,-76.19999999999891,0.0
270,D England,1.75,3.6,4.5,8435.2,8103.499999999999,331.70000000000164,2.0
271,J Moss,2.2,3.4,3.25,9267.0,8935.799999999997,331.20000000000255,2.0
272,M Dean,6.0,4.33,1.5,8251.199999999997,9342.799999999997,-1091.6000000000004,0.0
273,P Tierney,2.15,3.2,3.6,7966.300000000001,8103.199999999999,-136.89999999999782,2.0
274,G Scott,1.6,4.2,5.25,8363.1,8128.899999999999,234.20000000000164,0.0
275,S Attwell,1.55,4.2,5.75,8355.5,7903.600000000001,451.8999999999987,2.0
276,M Oliver,2.3,3.2,3.3,8550.1,8414.099999999999,136.00000000000182,0.0
277,A Taylor,1.5,4.5,6.0,8763.4,8589.599999999999,173.8000000000011,2.0
278,J Gillett,2.25,3.3,3.3,8701.299999999997,8475.499999999998,225.79999999999927,2.0
279,D Coote,1.3,5.25,11.0,9082.3,8191.000000000001,891.2999999999984,2.0
280,M Atkinson,10.0,5.0,1.33,8348.699999999999,9522.600000000002,-1173.9000000000033,1.0
281,R Jones,3.3,3.3,2.25,8287.299999999997,8981.699999999997,-694.3999999999996,0.0
282,A Marriner,3.5,4.0,1.9,8844.0,9407.499999999998,-563.4999999999982,0.0
283,C Pawson,2.4,3.25,3.1,8579.300000000001,8213.400000000001,365.89999999999964,2.0
284,K Friend,2.1,3.5,3.4,8487.7,8270.199999999999,217.50000000000182,0.0
285,A Madley,3.0,3.3,2.4,8487.0,8551.300000000003,-64.30000000000291,0.0
286,D England,2.15,3.4,3.4,8723.800000000003,7903.500000000001,820.300000000002,2.0
287,A Taylor,1.72,3.8,4.75,8943.800000000003,8638.0,305.8000000000029,2.0
288,S Hooper,1.5,4.0,7.0,8334.199999999997,7945.500000000001,388.6999999999962,1.0
289,A Taylor,2.37,3.75,2.75,8422.7,8311.099999999999,111.60000000000218,1.0
290,C Pawson,15.0,6.5,1.2,8198.5,9585.700000000003,-1387.2000000000025,0.0
291,A Madley,1.33,5.0,10.0,9119.099999999999,7965.700000000001,1153.3999999999978,0.0
292,A Marriner,1.5,4.5,6.0,9322.2,8629.3,692.9000000000015,1.0
293,S Attwell,1.12,9.5,17.0,9559.5,8179.899999999999,1379.6000000000013,2.0
294,D England,3.0,3.1,2.55,8545.0,8537.499999999998,7.500000000001819,2.0
295,M Atkinson,1.5,4.33,6.5,9003.300000000003,8262.2,741.1000000000022,2.0
296,M Oliver,1.75,3.8,4.5,8758.299999999997,8495.899999999998,262.39999999999964,2.0
297,P Tierney,4.0,3.4,1.95,8378.9,8591.700000000003,-212.8000000000029,2.0
298,M Dean,2.62,3.1,2.87,8216.6,8541.999999999998,-325.3999999999978,2.0
299,P Bankes,2.25,3.1,3.4,8281.4,8462.199999999999,-180.79999999999927,2.0
300,J Moss,4.6,3.75,1.75,8619.000000000002,9214.0,-594.9999999999982,2.0
301,G Scott,3.2,3.4,2.25,8513.6,9048.699999999997,-535.0999999999967,0.0
302,A Marriner,2.7,3.4,2.55,8130.2,8333.199999999999,-202.9999999999991,0.0
303,D Coote,1.61,3.8,5.75,8878.8,8326.7,552.0999999999985,0.0
304,K Friend,3.8,3.6,1.95,8418.6,9194.100000000002,-775.5000000000018,0.0
305,M Atkinson,2.62,3.3,2.62,8021.600000000001,8669.1,-647.4999999999991,2.0
306,R Jones,2.37,3.3,2.9,8775.100000000002,8213.5,561.6000000000022,2.0
307,A Taylor,2.0,3.75,3.5,9582.400000000003,9459.299999999997,123.10000000000582,1.0
308,M Oliver,2.87,3.2,2.55,8044.6,8127.999999999999,-83.39999999999873,2.0
309,P Bankes,3.8,3.6,1.95,8447.1,8630.000000000002,-182.90000000000146,2.0
310,S Hooper,2.7,3.3,2.55,8161.2,8044.300000000001,116.89999999999873,0.0
311,A Madley,1.25,6.5,10.0,9373.7,7974.900000000001,1398.8000000000002,2.0
312,C Pawson,1.53,4.0,6.5,9091.400000000003,8369.1,722.3000000000029,0.0
313,P Tierney,1.7,3.8,5.0,8804.499999999998,8183.899999999999,620.5999999999995,1.0
314,J Gillett,2.2,3.4,3.3,8322.0,8676.699999999999,-354.6999999999989,2.0
315,M Atkinson,1.4,5.0,7.0,9627.6,9270.8,356.8000000000011,2.0
316,D Coote,2.25,3.4,3.25,8658.600000000002,8723.999999999998,-65.399999999996,1.0
317,T Harrington,2.25,3.4,3.25,8379.2,8263.2,116.0,2.0
318,J Moss,1.83,3.6,4.33,9193.8,8696.100000000002,497.6999999999971,0.0
319,M Dean,1.16,7.0,17.0,9634.200000000003,8412.5,1221.7000000000025,2.0
320,S Attwell,2.75,3.25,2.62,8278.800000000001,8369.199999999999,-90.39999999999782,2.0
321,C Pawson,2.05,3.5,3.5,8948.5,9293.099999999999,-344.59999999999854,2.0
322,M Atkinson,4.33,3.5,1.85,8089.000000000001,9111.299999999997,-1022.2999999999965,1.0
323,A Madley,2.8,3.4,2.5,8827.900000000001,8585.599999999999,242.3000000000029,1.0
324,K Friend,1.1,10.0,26.0,9703.300000000003,8207.599999999999,1495.7000000000044,2.0
