,Referee,B365H,B365D,B365A,HICT,AICT,DifICT,Result
397,S Attwell,5.75,4.5,1.53,7650.9,8463.0,-812.1000000000004,2.0
398,J Gillett,7.5,5.0,1.36,7888.4,8555.7,-667.3000000000011,1.0
399,M Oliver,5.25,4.33,1.6,8263.7,8556.6,-292.89999999999964,2.0
400,S Attwell,1.1,10.0,26.0,8580.7,7419.2,1161.500000000001,2.0
401,M Salisbury,1.9,3.8,3.8,7646.2,7668.2,-22.0,2.0
402,J Gillett,1.3,5.75,9.0,8074.0,7632.4,441.60000000000036,2.0
403,A Madley,4.2,4.0,1.8,7551.4,8251.2,-699.8000000000011,0.0
404,D England,1.18,7.5,13.0,8581.7,7644.5,937.2000000000007,2.0
405,J Brooks,2.0,3.5,3.75,7558.6,7851.5,-292.89999999999964,1.0
406,P Tierney,1.4,5.0,7.0,8469.7,7935.1,534.6000000000004,2.0
407,P Bankes,2.7,3.3,2.7,7929.4,7830.7,98.69999999999982,1.0
408,C Pawson,7.0,4.6,1.44,7648.6,8157.2,-508.59999999999945,0.0
409,D Coote,2.3,3.4,3.1,7964.0,8049.7,-85.69999999999982,0.0
410,M Oliver,5.25,4.0,1.61,7610.4,8515.2,-904.8000000000011,2.0
411,S Hooper,2.05,3.4,3.6,7711.8,7595.8,116.0,1.0
412,T Bramall,3.1,3.3,2.3,7722.6,7719.5,3.100000000000364,2.0
413,D England,2.15,3.5,3.3,7710.2,7910.6,-200.40000000000055,1.0
414,P Bankes,3.6,3.8,1.95,8068.6,8222.8,-154.1999999999989,1.0
415,A Taylor,3.5,3.3,2.15,7471.0,8020.8,-549.8000000000002,1.0
416,P Tierney,1.06,13.0,29.0,8665.800000000001,7673.5,992.3000000000011,2.0
417,R Jones,1.45,4.5,6.0,8161.0,7992.0,169.0,2.0
418,A Marriner,1.33,5.25,9.0,8693.6,7898.7,794.9000000000005,2.0
419,C Pawson,3.4,3.75,2.05,7983.5,8307.6,-324.10000000000036,0.0
420,M Oliver,1.95,3.5,3.8,7702.6,7444.0,258.60000000000036,0.0
421,M Salisbury,2.0,3.5,3.75,7952.9,7666.1,286.7999999999993,1.0
422,S Attwell,1.5,4.5,6.5,8235.1,7683.0,552.1000000000004,2.0
423,A Taylor,7.0,4.75,1.4,7905.2,8623.4,-718.1999999999998,1.0
424,S Hooper,8.0,5.5,1.33,8001.0,8644.7,-643.7000000000007,1.0
425,J Brooks,2.2,3.4,3.25,7977.799999999999,7589.700000000001,388.09999999999854,2.0
426,A Madley,1.55,4.5,5.5,8517.800000000001,8086.599999999999,431.20000000000164,2.0
427,R Jones,2.1,3.5,3.4,7625.900000000001,7705.4,-79.49999999999909,2.0
428,T Harrington,1.83,3.5,4.5,7694.3,7998.3,-304.0,2.0
429,P Tierney,2.5,3.5,2.7,8320.1,8112.6,207.5,2.0
430,J Gillett,2.75,3.3,2.62,7751.8,7726.5,25.300000000000182,0.0
431,T Harrington,2.1,3.5,3.5,8025.6,7632.900000000001,392.6999999999998,2.0
432,S Hooper,1.45,4.5,7.0,8315.0,8043.2,271.8000000000002,2.0
433,A Taylor,9.5,5.0,1.33,8020.099999999999,8700.1,-680.0000000000009,0.0
434,C Pawson,1.44,4.4,7.5,8036.299999999999,7493.9,542.3999999999996,1.0
435,M Oliver,2.9,3.25,2.5,7957.4,8118.499999999999,-161.09999999999945,2.0
