,Mean,STD,SEM,zscore
SVC,0.4791611479028698,0.028646566106900848,0.00640556691369718,2.4282277545870143
CATBOOST,0.5665047345184153,0.02784258747222419,0.006225791825737732,5.635394830543731
L2,0.5183035901010805,0.033463168314271076,0.007482591909322717,3.2484320693041018
L1,0.5323101835715115,0.044552237781083796,0.009962183222823776,2.754281909833283
EN,0.5095864993609852,0.0558405751872943,0.01248633220214781,1.7905570996921611
LightGBM,0.5920330835366563,0.011341202703407813,0.0025359700191424253,16.085800359899874
RF,0.5740946032299291,0.013101040762172165,0.0029294817720212614,12.555784323365039
