,Mean,STD,SEM,zscore
SVC,0.48265372661786915,0.038461503469910785,0.006081297659969374,1.1823267384495635
CATBOOST,0.5565519925641919,0.02235606682426263,0.003534804534379858,3.3729512562966595
L2,0.5080614470779599,0.02990871976443771,0.004728983817765892,1.9355078134007502
L1,0.5129310880678517,0.042422712255258024,0.006707619762427688,2.0798624177877985
EN,0.5032007232485187,0.04456002805591656,0.007045559062885057,1.7914175474262852
LightGBM,0.5646813640060416,0.02923917707359003,0.00462311982307606,3.6139366186343573
RF,0.5590399238991519,0.01920703115135297,0.003036898276404082,3.4467029649638476
