,1 Lag Mean,1 Lag STD,1 Lag zscore,3 Lag Mean,3 Lag STD,3 Lag zscore,5 Lag Mean,3 Lag STD,5 Lag zscore,7 Lag Mean,7 Lag STD,7 Lag zscore
EN,0.542763157894737,0.030426396766472814,3.135276208579977,0.49403973509933774,0.046009414463975364,1.0939225305452622,0.4886666666666667,0.044671641514002554,1.0894309010653185,0.4873333333333333,0.03491789311025594,1.35556097797409
SVC,0.4638157894736842,0.03814150686606598,0.4312307201558831,0.48013245033112584,0.024432608853398083,1.4907720477037822,0.4866666666666667,0.05621826951410453,0.8300978857941999,0.5,0.021081851067789214,2.846049894151539
L1,0.5282894736842105,0.03911262750110265,2.0689347367913147,0.48476821192052977,0.04680744646604351,0.8771940154931582,0.5133333333333333,0.04388537257362555,1.6710199556880494,0.5253333333333333,0.02894012550417727,2.9486165608029635
L2,0.5335526315789474,0.023710592843465807,3.6348577257400065,0.4960264900662252,0.03917311687600105,1.3355457578683725,0.506,0.024026734081378686,2.746940128294492,0.4966666666666666,0.013052600138300792,4.341408306869618
CATBOOST,0.5552631578947368,0.02175367853971446,4.959858062523022,0.5582781456953642,0.02252304801886924,5.086751384598612,0.5526666666666666,0.02600094965027333,4.333175064068564,0.56,0.0217732421580727,5.511351921262152
LightGBM,0.5657894736842106,0.034674097150969065,3.4152720161280685,0.5596026490066224,0.024432608853398083,4.743400498162679,0.5566666666666665,0.025385910352879695,4.595725150090284,0.5766666666666668,0.03162277660168382,4.321779468896785
RF,0.5585526315789473,0.02883584311153769,3.855778766338916,0.5589403973509934,0.018783264800161285,6.134790654178711,0.562,0.014072124621322252,8.669621914458048,0.5566666666666666,0.014142135623730935,8.249579113843062
