,1 Lag Mean,1 Lag STD,3 Lag Mean,3 Lag STD,5 Lag Mean,5 Lag STD,7 Lag Mean,7 Lag STD
EN,0.542763157894737,0.030426396766472814,0.49403973509933774,0.046009414463975364,0.4886666666666667,0.044671641514002554,0.4873333333333333,0.03491789311025594
SVC,0.4638157894736842,0.03814150686606598,0.48013245033112584,0.024432608853398083,0.4866666666666667,0.05621826951410453,0.5,0.021081851067789214
L1,0.5282894736842105,0.03911262750110265,0.48476821192052977,0.04680744646604351,0.5133333333333333,0.04388537257362555,0.5253333333333333,0.02894012550417727
L2,0.5335526315789474,0.023710592843465807,0.4960264900662252,0.03917311687600105,0.506,0.024026734081378686,0.4966666666666666,0.013052600138300792
CATBOOST,0.5552631578947368,0.02175367853971446,0.5582781456953642,0.02252304801886924,0.5526666666666666,0.02600094965027333,0.56,0.0217732421580727
LightGBM,0.5657894736842106,0.034674097150969065,0.5596026490066224,0.024432608853398083,0.5566666666666665,0.025385910352879695,0.5766666666666668,0.03162277660168382
RF,0.5585526315789473,0.02883584311153769,0.5589403973509934,0.018783264800161285,0.562,0.014072124621322252,0.5566666666666666,0.014142135623730935
